SeqID,Domain,Phylum,Class,Order,Family,Genus
Zotu59309,Bacteria,Firmicutes,,,,
Zotu59430,Bacteria,Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis,,,
Zotu60130,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu60504,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Zotu61494,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu62201,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu65029,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Zotu69573,Bacteria,,,,,
Zotu71492,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus
Zotu71503,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,
Zotu75147,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu75923,Bacteria,,,,,
Zotu76160,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu76374,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema
Zotu80119,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu81199,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,
Zotu84369,Bacteria,Firmicutes,,,,
Zotu86845,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu87593,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu89336,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
